Source,Target,Weight,Type
Dennis Brown,Dirtlawyer1,1,Directed
LlamaAl,Dirtlawyer1,1,Directed
Pharaoh of the Wizards,Dirtlawyer1,1,Directed
Pratyya Ghosh,Dirtlawyer1,1,Directed
GiantSnowman,Dirtlawyer1,1,Directed
Lord Roem,Dirtlawyer1,1,Directed
Ktr101,Dirtlawyer1,1,Directed
Carioca,Dirtlawyer1,1,Directed
Someguy1221,Dirtlawyer1,1,Directed
Miniapolis,Dirtlawyer1,1,Directed
Kuru,Dirtlawyer1,1,Directed
Spencer,Dirtlawyer1,1,Directed
Mlpearc,Dirtlawyer1,1,Directed
Patriarca12,Dirtlawyer1,1,Directed
Zagalejo,Dirtlawyer1,1,Directed
Stephen,Dirtlawyer1,1,Directed
Dainomite,Dirtlawyer1,1,Directed
Carrite,Dirtlawyer1,1,Directed
Swarm,Dirtlawyer1,1,Directed
Brookie,Dirtlawyer1,1,Directed
WilyD,Dirtlawyer1,1,Directed
Ironholds,Dirtlawyer1,1,Directed
Jebus989,Dirtlawyer1,1,Directed
Érico Júnior Wouters,Dirtlawyer1,1,Directed
Shadowjams,Dirtlawyer1,1,Directed
Cbl62,Dirtlawyer1,1,Directed
Wizardman,Dirtlawyer1,1,Directed
RP459,Dirtlawyer1,1,Directed
Cncplayer,Dirtlawyer1,1,Directed
Kierzek,Dirtlawyer1,1,Directed
Sparklism,Dirtlawyer1,1,Directed
TonyTheTiger,Dirtlawyer1,1,Directed
SarekOfVulcan,Dirtlawyer1,1,Directed
AuburnPilot,Dirtlawyer1,1,Directed
Rogerd,Dirtlawyer1,1,Directed
Mkdw,Dirtlawyer1,1,Directed
Inka 888,Dirtlawyer1,1,Directed
Epeefleche,Dirtlawyer1,1,Directed
ZappaOMati,Dirtlawyer1,1,Directed
Bagumba,Dirtlawyer1,1,Directed
MrX,Dirtlawyer1,1,Directed
INeverCry,Dirtlawyer1,1,Directed
Espresso Addict,Dirtlawyer1,1,Directed
Ks0stm,Dirtlawyer1,1,Directed
Axl,Dirtlawyer1,1,Directed
KillerChihuahua,Dirtlawyer1,1,Directed
A7x,Dirtlawyer1,1,Directed
Mediran,Dirtlawyer1,1,Directed
Colonel Warden,Dirtlawyer1,1,Directed
TCO,Dirtlawyer1,1,Directed
Zeng8r,Dirtlawyer1,1,Directed
Wsiegmund,Dirtlawyer1,1,Directed
Bmusician,Dirtlawyer1,1,Directed
Gilderien,Dirtlawyer1,1,Directed
Nsk92,Dirtlawyer1,1,Directed
Dream Focus,Dirtlawyer1,1,Directed
Yrtneg,Dirtlawyer1,1,Directed
AlexiusHoratius,Dirtlawyer1,1,Directed
Nolelover,Dirtlawyer1,1,Directed
Mark91,Dirtlawyer1,1,Directed
Greengreengreenred,Dirtlawyer1,1,Directed
Darkfrog24,Dirtlawyer1,1,Directed
Philipmj24,Dirtlawyer1,1,Directed
MONGO,Dirtlawyer1,1,Directed
Foxj,Dirtlawyer1,1,Directed
Wehwalt,Dirtlawyer1,1,Directed
RayAYang,Dirtlawyer1,1,Directed
The Blade of the Northern Lights,Dirtlawyer1,1,Directed
Moriori,Dirtlawyer1,1,Directed
Ejgreen77,Dirtlawyer1,1,Directed
Cmach7,Dirtlawyer1,1,Directed
Richmond96,Dirtlawyer1,1,Directed
Tucoxn,Dirtlawyer1,1,Directed
Frietjes,Dirtlawyer1,-1,Directed
Trevj,Dirtlawyer1,-1,Directed
Thumperward,Dirtlawyer1,-1,Directed
Stfg,Dirtlawyer1,-1,Directed
Tony1,Dirtlawyer1,-1,Directed
SMcCandlish,Dirtlawyer1,-1,Directed
Neotarf,Dirtlawyer1,-1,Directed
Ceoil,Dirtlawyer1,-1,Directed
Ohconfucius,Dirtlawyer1,-1,Directed
Dicklyon,Dirtlawyer1,-1,Directed
Noetica,Dirtlawyer1,-1,Directed
Jusdafax,Dirtlawyer1,-1,Directed
Staberinde,Dirtlawyer1,-1,Directed
Black Kite,Dirtlawyer1,-1,Directed
Darkness Shines,Dirtlawyer1,-1,Directed
Leaky caldron,Dirtlawyer1,-1,Directed
Truthkeeper88,Dirtlawyer1,-1,Directed
Baseball Bugs,Dirtlawyer1,-1,Directed
Plastikspork,Dirtlawyer1,-1,Directed
Ched,Dirtlawyer1,-1,Directed
Graham87,Dirtlawyer1,-1,Directed
Beyond My Ken,Dirtlawyer1,-1,Directed
Trusilver,Dirtlawyer1,-1,Directed
Bidgee,Dirtlawyer1,-1,Directed
Johnuniq,Dirtlawyer1,-1,Directed
LightGreenApple,Dirtlawyer1,-1,Directed
Salvio  giuliano,Dirtlawyer1,-1,Directed
RegentsPark,Dirtlawyer1,-1,Directed
Fluffernutter,Dirtlawyer1,-1,Directed
Epbr123,Dirtlawyer1,-1,Directed
Soap,Dirtlawyer1,-1,Directed
Ponyo,Dirtlawyer1,-1,Directed
John F. Lewis,Dirtlawyer1,-1,Directed
Kraxler,Dirtlawyer1,-1,Directed
HaugenErik,Dirtlawyer1,-1,Directed
Philosopher,Dirtlawyer1,-1,Directed
Diannaa,Dirtlawyer1,-1,Directed
PaleAqua,Dirtlawyer1,-1,Directed
Tryptofish,Dirtlawyer1,-1,Directed
Courcelles,Dirtlawyer1,-1,Directed
Boing! said Zebedee,Dirtlawyer1,-1,Directed
Toddst1,Dirtlawyer1,-1,Directed
Glrx,Dirtlawyer1,-1,Directed
Reaper Eternal,Dirtlawyer1,-1,Directed
Vanisaac,Dirtlawyer1,-1,Directed
Status,Hahc21,1,Directed
Vacation9,Hahc21,1,Directed
LlamaAl,Hahc21,1,Directed
C678,Hahc21,1,Directed
John F. Lewis,Hahc21,1,Directed
Mark Arsten,Hahc21,1,Directed
Ultraexactzz,Hahc21,1,Directed
Tomica,Hahc21,1,Directed
Fluffernutter,Hahc21,-1,Directed
KTC,Hahc21,-1,Directed
RegentsPark,Hahc21,-1,Directed
Bwilkins,Hahc21,-1,Directed
GiantSnowman,Hahc21,-1,Directed
Floquenbeam,Hahc21,-1,Directed
Tom Morris,Hahc21,-1,Directed
Foxj,Hahc21,-1,Directed
KillerChihuahua,Hahc21,-1,Directed
Basalisk,Hahc21,-1,Directed
Staberinde,Hahc21,-1,Directed
Andy Dingley,Hahc21,-1,Directed
Soap,Hahc21,-1,Directed
Legoktm,Jasper Deng,1,Directed
Rschen7754,Jasper Deng,1,Directed
TParis,Jasper Deng,1,Directed
Dennis Brown,Jasper Deng,1,Directed
TCO,Jasper Deng,1,Directed
RegentsPark,Jasper Deng,1,Directed
Addshore,Jasper Deng,1,Directed
PaleAqua,Jasper Deng,1,Directed
ZappaOMati,Jasper Deng,1,Directed
Hahc21,Jasper Deng,1,Directed
Go Phightins!,Jasper Deng,1,Directed
TBrandley,Jasper Deng,1,Directed
Inka 888,Jasper Deng,1,Directed
Érico Júnior Wouters,Jasper Deng,1,Directed
Tazerdadog,Jasper Deng,1,Directed
Elockid,Jasper Deng,1,Directed
King of Hearts,Jasper Deng,1,Directed
Rzuwig,Jasper Deng,1,Directed
A7x,Jasper Deng,1,Directed
Vacation9,Jasper Deng,1,Directed
Wehwalt,Jasper Deng,1,Directed
Arctic Kangaroo,Jasper Deng,1,Directed
Secret,Jasper Deng,1,Directed
AutomaticStrikeout,Jasper Deng,1,Directed
Satellizer,Jasper Deng,1,Directed
LlamaAl,Jasper Deng,1,Directed
Miniapolis,Jasper Deng,1,Directed
Ktr101,Jasper Deng,1,Directed
Soap,Jasper Deng,1,Directed
Stalwart111,Jasper Deng,1,Directed
,Jasper Deng,-1,Directed
Nathan Johnson,Jasper Deng,-1,Directed
Retrolord,Jasper Deng,-1,Directed
Widr,Jasper Deng,-1,Directed
Kiefer.Wolfowitz,Jasper Deng,-1,Directed
Kierzek,Jasper Deng,-1,Directed
Kraxler,Jasper Deng,-1,Directed
Diannaa,Jasper Deng,-1,Directed
Salih,Jasper Deng,-1,Directed
John F. Lewis,Jasper Deng,-1,Directed
Dream Focus,Jasper Deng,-1,Directed
Spartaz,Jasper Deng,-1,Directed
Mike V,Jasper Deng,-1,Directed
B,Jasper Deng,-1,Directed
Guerillero,Jasper Deng,-1,Directed
Keilana,Jasper Deng,-1,Directed
Spencer,Jasper Deng,-1,Directed
MrX,Jasper Deng,-1,Directed
Riley Huntley,Jasper Deng,-1,Directed
Kurtis,Jasper Deng,-1,Directed
Boing! said Zebedee,Jasper Deng,-1,Directed
Ip mask,Jasper Deng,-1,Directed
Ched,Jasper Deng,-1,Directed
Mediran,Jasper Deng,-1,Directed
Rcsprinter123,Jasper Deng,-1,Directed
GiantSnowman,Jasper Deng,-1,Directed
IRWolfie-,Jasper Deng,-1,Directed
Buster7,Jasper Deng,-1,Directed
Steel1943,Jasper Deng,-1,Directed
Scott Martin,KumiokoCleanStart,1,Directed
AutomaticStrikeout,KumiokoCleanStart,1,Directed
Carrite,KumiokoCleanStart,1,Directed
Malleus Fatuorum,KumiokoCleanStart,1,Directed
Italick,KumiokoCleanStart,1,Directed
Tazerdadog,KumiokoCleanStart,1,Directed
Gilderien,KumiokoCleanStart,1,Directed
MONGO,KumiokoCleanStart,1,Directed
Sun Creator,KumiokoCleanStart,1,Directed
Ohconfucius,KumiokoCleanStart,1,Directed
Ihardlythinkso,KumiokoCleanStart,1,Directed
Hillbillyholiday81,KumiokoCleanStart,1,Directed
RightCowLeftCoast,KumiokoCleanStart,1,Directed
You Can Act Like A Man,KumiokoCleanStart,1,Directed
Jasper Deng,KumiokoCleanStart,-1,Directed
Rschen7754,KumiokoCleanStart,-1,Directed
Yngvadottir,KumiokoCleanStart,-1,Directed
Canuckian89,KumiokoCleanStart,-1,Directed
Glrx,KumiokoCleanStart,-1,Directed
Smtchahal,KumiokoCleanStart,-1,Directed
GiantSnowman,KumiokoCleanStart,-1,Directed
Beyond My Ken,KumiokoCleanStart,-1,Directed
Mendaliv,KumiokoCleanStart,-1,Directed
Stfg,KumiokoCleanStart,-1,Directed
Johnuniq,KumiokoCleanStart,-1,Directed
JamesBWatson,KumiokoCleanStart,-1,Directed
Bwilkins,KumiokoCleanStart,-1,Directed
Leaky caldron,KumiokoCleanStart,-1,Directed
Ultraexactzz,KumiokoCleanStart,-1,Directed
Atlan,KumiokoCleanStart,-1,Directed
Lettik,KumiokoCleanStart,-1,Directed
BDD,KumiokoCleanStart,-1,Directed
Writ Keeper,KumiokoCleanStart,-1,Directed
Jusdafax,KumiokoCleanStart,-1,Directed
Hasteur,KumiokoCleanStart,-1,Directed
Imzadi1979,KumiokoCleanStart,-1,Directed
Thine Antique Pen,KumiokoCleanStart,-1,Directed
Snowolf,KumiokoCleanStart,-1,Directed
Inks.LWC,KumiokoCleanStart,-1,Directed
Carnildo,KumiokoCleanStart,-1,Directed
Kurtis,KumiokoCleanStart,-1,Directed
Minimac,KumiokoCleanStart,-1,Directed
Arctic Kangaroo,KumiokoCleanStart,-1,Directed
Spencer,KumiokoCleanStart,-1,Directed
Sphilbrick,KumiokoCleanStart,-1,Directed
NHRHS2010,KumiokoCleanStart,-1,Directed
Djsasso,KumiokoCleanStart,-1,Directed
Surajt88,KumiokoCleanStart,-1,Directed
Ironholds,KumiokoCleanStart,-1,Directed
Sven Manguard,KumiokoCleanStart,-1,Directed
Garion96,KumiokoCleanStart,-1,Directed
Resolute,KumiokoCleanStart,-1,Directed
Axl,KumiokoCleanStart,-1,Directed
Star Mississippi,KumiokoCleanStart,-1,Directed
Foxj,KumiokoCleanStart,-1,Directed
Starblind,KumiokoCleanStart,-1,Directed
JayJay,KumiokoCleanStart,-1,Directed
Jguy,KumiokoCleanStart,-1,Directed
Guerillero,KumiokoCleanStart,-1,Directed
SarekOfVulcan,KumiokoCleanStart,-1,Directed
Poeticbent,Piotrus,1,Directed
Vecrumba,Piotrus,1,Directed
Salvio  giuliano,Piotrus,1,Directed
NintendoFan,Piotrus,1,Directed
Sandstunk,Piotrus,1,Directed
Razionale,Piotrus,1,Directed
Water Squid,Piotrus,1,Directed
Kiefer.Wolfowitz,Piotrus,1,Directed
S Marshall,Piotrus,1,Directed
Ragesoss,Piotrus,1,Directed
Cirt,Piotrus,1,Directed
Ceoil,Piotrus,1,Directed
Adoptlesds,Piotrus,1,Directed
RegentsPark,Piotrus,1,Directed
I am One of Many,Piotrus,1,Directed
Johnbod,Piotrus,1,Directed
Hawkeye7,Piotrus,1,Directed
Malik Shabazz,Piotrus,1,Directed
Shirt58,Piotrus,1,Directed
DanielTom,Piotrus,1,Directed
Gilderien,Piotrus,1,Directed
Secret,Piotrus,1,Directed
Stanistani,Piotrus,1,Directed
Truthkeeper88,Piotrus,1,Directed
My very best wishes,Piotrus,1,Directed
Ramaksoud2000,Piotrus,1,Directed
Dr. Blofeld,Piotrus,1,Directed
Fox Wilson,Piotrus,1,Directed
Homunculus,Piotrus,1,Directed
Orlady,Piotrus,1,Directed
FeydHuxtable,Piotrus,1,Directed
WereSpielChequers,Piotrus,1,Directed
MONGO,Piotrus,1,Directed
Boing! said Zebedee,Piotrus,1,Directed
Rcsprinter123,Piotrus,1,Directed
BDD,Piotrus,1,Directed
DGG,Piotrus,1,Directed
Halibutt,Piotrus,1,Directed
Fabartus,Piotrus,1,Directed
The Blade of the Northern Lights,Piotrus,1,Directed
Agathoclea,Piotrus,1,Directed
Trusilver,Piotrus,1,Directed
78.26,Piotrus,1,Directed
Gwillhickers,Piotrus,1,Directed
Rocksanddirt,Piotrus,1,Directed
KumiokoCleanStart,Piotrus,1,Directed
Giano,Piotrus,-1,Directed
Nanobear,Piotrus,-1,Directed
Minimac,Piotrus,-1,Directed
Future Perfect at Sunrise,Piotrus,-1,Directed
King of Hearts,Piotrus,-1,Directed
Basalisk,Piotrus,-1,Directed
Kudpung,Piotrus,-1,Directed
Bishonen,Piotrus,-1,Directed
Nick-D,Piotrus,-1,Directed
Ezhiki,Piotrus,-1,Directed
Snowolf,Piotrus,-1,Directed
GiantSnowman,Piotrus,-1,Directed
IRWolfie-,Piotrus,-1,Directed
Fluffernutter,Piotrus,-1,Directed
Stfg,Piotrus,-1,Directed
Miniapolis,Piotrus,-1,Directed
Estlandia,Piotrus,-1,Directed
Kraxler,Piotrus,-1,Directed
Heimstern,Piotrus,-1,Directed
Sparklism,Piotrus,-1,Directed
Starblind,Piotrus,-1,Directed
Canuckian89,Piotrus,-1,Directed
Danger,Piotrus,-1,Directed
MaskedHero,Piotrus,-1,Directed
AutomaticStrikeout,Piotrus,-1,Directed
Cncmaster,Piotrus,-1,Directed
Jasper Deng,Piotrus,-1,Directed
Dennis Brown,Piotrus,-1,Directed
Steven Zhang,Piotrus,-1,Directed
Kobnach,Piotrus,-1,Directed
Beyond My Ken,Piotrus,-1,Directed
Mrt3366,Piotrus,-1,Directed
My76Strat,Piotrus,-1,Directed
Bwilkins,Piotrus,-1,Directed
Mediran,Piotrus,-1,Directed
Arctic Kangaroo,Piotrus,-1,Directed
Master of Puppets,Piotrus,-1,Directed
Vodello,Piotrus,-1,Directed
Curb Chain,Piotrus,-1,Directed
Kurtis,Piotrus,-1,Directed
Beeblebrox,Piotrus,-1,Directed
Drmies,Piotrus,-1,Directed
Rschen7754,Piotrus,-1,Directed
Inks.LWC,Piotrus,-1,Directed
Axl,Piotrus,-1,Directed
The Illusive Man,Piotrus,-1,Directed
Anthony Bradbury,Piotrus,-1,Directed
TBrandley,Piotrus,-1,Directed
Sue Rangell,Piotrus,-1,Directed
Jebus989,Piotrus,-1,Directed
Jusdafax,Piotrus,-1,Directed
Camyoung54,Piotrus,-1,Directed
Ktr101,Piotrus,-1,Directed
Lankiveil,Piotrus,-1,Directed
Ben MacDui,Piotrus,-1,Directed
The Potato Hose,Piotrus,-1,Directed
Go Phightins!,Piotrus,-1,Directed
TParis,Piotrus,-1,Directed
Epeefleche,Piotrus,-1,Directed
ZappaOMati,Piotrus,-1,Directed
Ansh666,Piotrus,-1,Directed
Ghirlandajo,Piotrus,-1,Directed
Djsasso,Piotrus,-1,Directed
Wizardman,Piotrus,-1,Directed
HerkusMonte,Piotrus,-1,Directed
Shrigley,Piotrus,-1,Directed
Miss Bono,Pjoef,1,Directed
Ultraexactzz,Pjoef,1,Directed
NintendoFan,Pjoef,1,Directed
Benzband,Pjoef,1,Directed
Floquenbeam,Pjoef,1,Directed
Strike Eagle,Pjoef,1,Directed
Darkstar1st,Pjoef,1,Directed
Ret.Prof,Pjoef,1,Directed
GiantSnowman,Pjoef,1,Directed
Secret,Pjoef,1,Directed
Demiurge1000,Pjoef,1,Directed
avriette,Pjoef,1,Directed
Faizan Al-Badri,Pjoef,1,Directed
Manning Bartlett,Pjoef,1,Directed
Smtchahal,Pjoef,1,Directed
,Pjoef,1,Directed
Tazerdadog,Pjoef,1,Directed
DGG,Pjoef,1,Directed
I am One of Many,Pjoef,1,Directed
Pol430,Pjoef,-1,Directed
Cncmaster,Pjoef,-1,Directed
Kiefer.Wolfowitz,Pjoef,-1,Directed
RockMagnetist,Pjoef,-1,Directed
Dennis Brown,Pjoef,-1,Directed
RightCowLeftCoast,Pjoef,-1,Directed
Ramaksoud2000,Pjoef,-1,Directed
Bwilkins,Pjoef,-1,Directed
Boing! said Zebedee,Pjoef,-1,Directed
Salvio  giuliano,Pjoef,-1,Directed
Deadbeef,Pjoef,-1,Directed
Axl,Pjoef,-1,Directed
Kraxler,Pjoef,-1,Directed
Camyoung54,Pjoef,-1,Directed
Beyond My Ken,Pjoef,-1,Directed
Sparklism,Pjoef,-1,Directed
Canuckian89,Pjoef,-1,Directed
filelakeshoe,Pjoef,-1,Directed
Stfg,Pjoef,-1,Directed
Jasper Deng,Pjoef,-1,Directed
Mediran,Pjoef,-1,Directed
Mrt3366,Pjoef,-1,Directed
Dr. Blofeld,Pjoef,-1,Directed
RayAYang,Pjoef,-1,Directed
Arctic Kangaroo,Pjoef,-1,Directed
069952497a,Pjoef,-1,Directed
Epeefleche,Pjoef,-1,Directed
Intothatdarkness,Pjoef,-1,Directed
Glrx,Pjoef,-1,Directed
Jebus989,Pjoef,-1,Directed
Inks.LWC,Pjoef,-1,Directed
Hullaballoo Wolfowitz,Pjoef,-1,Directed
Tucoxn,Pjoef,-1,Directed
Joe Decker,Pjoef,-1,Directed
Pdcook,Pjoef,-1,Directed
Beeblebrox,Pjoef,-1,Directed
Ktr101,Pjoef,-1,Directed
Mkdw,Pjoef,-1,Directed
Minimac,Pjoef,-1,Directed
TruPepitoM,Pjoef,-1,Directed
TBrandley,Pjoef,-1,Directed
Kudpung,Pjoef,-1,Directed
Chris troutman,Pjoef,-1,Directed
Jasper Deng,Satellizer,1,Directed
Inka 888,Satellizer,1,Directed
Brambleberry of RiverClan,Satellizer,1,Directed
Vacation9,Satellizer,1,Directed
FlyingPuppy2,Satellizer,1,Directed
Rcsprinter123,Satellizer,-1,Directed
TCO,Satellizer,-1,Directed
Kierzek,Satellizer,-1,Directed
Vacation9,Theopolisme,1,Directed
Inka 888,Theopolisme,1,Directed
Deb,Theopolisme,1,Directed
LlamaAl,Theopolisme,1,Directed
Brambleberry of RiverClan,Theopolisme,1,Directed
Gigs,Theopolisme,1,Directed
Hahc21,Theopolisme,1,Directed
TParis,Theopolisme,1,Directed
Go Phightins!,Theopolisme,1,Directed
Rschen7754,Theopolisme,1,Directed
ZappaOMati,Theopolisme,1,Directed
Dennis Brown,Theopolisme,1,Directed
Tyrol5,Theopolisme,1,Directed
Jasper Deng,Theopolisme,1,Directed
Cncmaster,Theopolisme,1,Directed
Secret,Theopolisme,1,Directed
INeverCry,Theopolisme,1,Directed
Boing! said Zebedee,Theopolisme,1,Directed
Nyttend,Theopolisme,1,Directed
Peridon,Theopolisme,1,Directed
AutomaticStrikeout,Theopolisme,1,Directed
Kurtis,Theopolisme,1,Directed
RayAYang,Theopolisme,1,Directed
Ktr101,Theopolisme,1,Directed
Mediran,Theopolisme,1,Directed
Ironholds,Theopolisme,1,Directed
Stalwart111,Theopolisme,1,Directed
Mr. Stradivarius,Theopolisme,1,Directed
Stfg,Theopolisme,1,Directed
Miniapolis,Theopolisme,1,Directed
Morning Sunshine,Theopolisme,1,Directed
Malinaccier,Theopolisme,1,Directed
TBrandley,Theopolisme,1,Directed
Mabdul,Theopolisme,1,Directed
Torreslfchero,Theopolisme,1,Directed
Riley Huntley,Theopolisme,1,Directed
Tazerdadog,Theopolisme,1,Directed
Fox Wilson,Theopolisme,1,Directed
Guðsþegn,Theopolisme,1,Directed
MrX,Theopolisme,1,Directed
Doctree,Theopolisme,1,Directed
Pratyya Ghosh,Theopolisme,1,Directed
PaleAqua,Theopolisme,1,Directed
Kim Dent-Brown,Theopolisme,1,Directed
Yunshui,Theopolisme,1,Directed
Rogerd,Theopolisme,1,Directed
Ched,Theopolisme,1,Directed
A7x,Theopolisme,1,Directed
Amadscientist,Theopolisme,1,Directed
Kraxler,Theopolisme,1,Directed
Pichpich,Theopolisme,1,Directed
Huon,Theopolisme,1,Directed
Pdcook,Theopolisme,1,Directed
zeeyanketu,Theopolisme,1,Directed
Jschnur,Theopolisme,1,Directed
nerdfighter,Theopolisme,1,Directed
Tryptofish,Theopolisme,1,Directed
MelbourneStar,Theopolisme,1,Directed
Shaun9876,Theopolisme,1,Directed
Spencer,Theopolisme,1,Directed
PinkAmpersand,Theopolisme,1,Directed
Garamond Lethe,Theopolisme,1,Directed
IComputerSaysNo,Theopolisme,1,Directed
Wehwalt,Theopolisme,1,Directed
WikiPuppies,Theopolisme,1,Directed
Wizardman,Theopolisme,1,Directed
JayJay,Theopolisme,1,Directed
FreeRangeFrog,Theopolisme,1,Directed
Mscuthbert,Theopolisme,1,Directed
King of Hearts,Theopolisme,1,Directed
Axl,Theopolisme,1,Directed
Rzuwig,Theopolisme,1,Directed
Ultraexactzz,Theopolisme,1,Directed
Soap,Theopolisme,1,Directed
Edison,Theopolisme,1,Directed
Addshore,Theopolisme,1,Directed
FrigidNinja,Theopolisme,1,Directed
Dainomite,Theopolisme,1,Directed
RegentsPark,Theopolisme,1,Directed
Gilderien,Theopolisme,1,Directed
Starblind,Theopolisme,-1,Directed
Kiefer.Wolfowitz,Theopolisme,-1,Directed
Nathan Johnson,Theopolisme,-1,Directed
Thine Antique Pen,Theopolisme,-1,Directed
Trusilver,Theopolisme,-1,Directed
TCO,Theopolisme,-1,Directed
Chip123456,Theopolisme,-1,Directed
Colonel Warden,Theopolisme,-1,Directed
Dlohcierekim,Theopolisme,-1,Directed
Jusdafax,Theopolisme,-1,Directed
Kierzek,Theopolisme,-1,Directed
DGG,Theopolisme,-1,Directed
Phil Bridger,Theopolisme,-1,Directed
ItsZippy,Theopolisme,-1,Directed
Orlady,Theopolisme,-1,Directed
Inks.LWC,Theopolisme,-1,Directed
Kudpung,Theopolisme,-1,Directed
Staberinde,Theopolisme,-1,Directed
Widr,Theopolisme,-1,Directed
Leaky caldron,Theopolisme,-1,Directed
Bluerasberry,Theopolisme,-1,Directed
Plutonium27,Theopolisme,-1,Directed
Espresso Addict,Theopolisme,-1,Directed
WereSpielChequers,Theopolisme,-1,Directed
Incnis Mrsi,Theopolisme,-1,Directed
Minimac,Theopolisme,-1,Directed
Demiurge1000,Theopolisme,-1,Directed
Tazerdadog,TortoiseWrath,1,Directed
Go Phightins!,TortoiseWrath,-1,Directed
Hahc21,TortoiseWrath,-1,Directed
LuK3,TortoiseWrath,-1,Directed
Salih,TortoiseWrath,-1,Directed
Cncmaster,TortoiseWrath,-1,Directed
Hahc21,Vacation9,1,Directed
Addshore,Vacation9,1,Directed
Go Phightins!,Vacation9,1,Directed
Tazerdadog,Vacation9,1,Directed
Trusilver,Vacation9,1,Directed
Malinaccier,Vacation9,1,Directed
Nerdfighter,Vacation9,1,Directed
LlamaAl,Vacation9,1,Directed
Rschen7754,Vacation9,-1,Directed
Legoktm,Vacation9,-1,Directed
KTC,Vacation9,-1,Directed
Riley Huntley,Vacation9,-1,Directed
Soap,Vacation9,-1,Directed
Floquenbeam,Vacation9,-1,Directed
Inks.LWC,Vacation9,-1,Directed
Leaky caldron,Vacation9,-1,Directed
John F. Lewis,Vacation9,-1,Directed
JayJay,Vacation9,-1,Directed
Tyrol5,Vacation9,-1,Directed
Jasper Deng,Vacation9,-1,Directed
Greengreengreenred,Vacation9,-1,Directed
Aircorn,Vacation9,-1,Directed
Fluffernutter,Vacation9,-1,Directed
Mediran,Vacation9,-1,Directed
Widr,Vacation9,-1,Directed
Jebus989,Vacation9,-1,Directed
AutomaticStrikeout,Bagumba,1,Directed
Kurtis,Bagumba,1,Directed
Zagalejo,Bagumba,1,Directed
Wizardman,Bagumba,1,Directed
Ched,Bagumba,1,Directed
John F. Lewis,Bagumba,1,Directed
Axl,Bagumba,1,Directed
Hobit,Bagumba,1,Directed
Dennis Brown,Bagumba,1,Directed
Reaper Eternal,Bagumba,1,Directed
Jorgath,Bagumba,1,Directed
Kierzek,Bagumba,1,Directed
Sjones23,Bagumba,1,Directed
Theopolisme,Bagumba,1,Directed
Zepppep,Bagumba,1,Directed
Stephen,Bagumba,1,Directed
The Blade of the Northern Lights,Bagumba,1,Directed
Morning Sunshine,Bagumba,1,Directed
Jenks24,Bagumba,1,Directed
Brookie,Bagumba,1,Directed
RP459,Bagumba,1,Directed
Thumperward,Bagumba,1,Directed
Mr. Stradivarius,Bagumba,1,Directed
Paul Erik,Bagumba,1,Directed
Deb,Bagumba,1,Directed
GiantSnowman,Bagumba,1,Directed
Bibliomaniac15,Bagumba,1,Directed
Ajraddatz,Bagumba,1,Directed
Brambleberry of RiverClan,Bagumba,1,Directed
Keepscases,Bagumba,1,Directed
Mysterytrey,Bagumba,1,Directed
JoshuaZ,Bagumba,1,Directed
Glrx,Bagumba,1,Directed
Tryptofish,Bagumba,1,Directed
Torreslfchero,Bagumba,1,Directed
Vertium,Bagumba,1,Directed
Dank,Bagumba,1,Directed
HueSatLum,Bagumba,1,Directed
PumpkinSky,Bagumba,1,Directed
Chrishmt0423,Bagumba,1,Directed
Someguy1221,Bagumba,1,Directed
Newyorkbrad,Bagumba,1,Directed
Adjwilley,Bagumba,1,Directed
Bzweebl,Bagumba,1,Directed
Dlohcierekim,Bagumba,1,Directed
Carrite,Bagumba,1,Directed
LemonTwinkle,Bagumba,1,Directed
Thomas85753,Bagumba,1,Directed
Colonel Warden,Bagumba,1,Directed
Boing! said Zebedee,Bagumba,1,Directed
Electriccatfish2,Bagumba,1,Directed
Ktr101,Bagumba,1,Directed
ZappaOMati,Bagumba,1,Directed
Deor,Bagumba,1,Directed
Secret,Bagumba,1,Directed
IRWolfie-,Bagumba,1,Directed
Trusilver,Bagumba,1,Directed
ChrisGualtieri,Bagumba,1,Directed
CharlieEchoTango,Bagumba,1,Directed
MONGO,Bagumba,1,Directed
SlimVirgin,Bagumba,1,Directed
Dwaipayanc,Bagumba,1,Directed
Bloom6132,Bagumba,1,Directed
AGK,Bagumba,1,Directed
Bbb23,Bagumba,1,Directed
Riley Huntley,Bagumba,1,Directed
Crisco 1492,Bagumba,1,Directed
Kiefer.Wolfowitz,Bagumba,1,Directed
WereSpielChequers,Bagumba,1,Directed
SilkTork,Bagumba,1,Directed
Carioca,Bagumba,1,Directed
GabeMc,Bagumba,1,Directed
Chris4315,Bagumba,1,Directed
Mike 7,Bagumba,1,Directed
PhilKnight,Bagumba,1,Directed
Go Phightins!,Bagumba,1,Directed
Kudpung,Bagumba,1,Directed
Modernist,Bagumba,1,Directed
A7x,Bagumba,1,Directed
TheGeneralUser,Bagumba,1,Directed
Hahc21,Bagumba,1,Directed
Malleus Fatuorum,Bagumba,-1,Directed
Anthonyhcole,Bagumba,-1,Directed
Giants2008,Bagumba,-1,Directed
Dennis Brown,Basalisk,1,Directed
Hahc21,Basalisk,1,Directed
PaleAqua,Basalisk,1,Directed
Rzuwig,Basalisk,1,Directed
AutomaticStrikeout,Basalisk,1,Directed
